% Model,SOR optimaze — копия.mph
% Version,COMSOL 6.0.0.318
% Date,"May 27 2023, 13:52"
% Table,Table  - Integral
% light,k5,k9,target
7.100000000000000E-5,3.000000000000000E3,7.100000000000000E-4,1.474070993494157E-7
7.100000000000000E-5,3.000000000000000E3,8.100000000000001E-4,1.474070993387032E-7
7.100000000000000E-5,3.000000000000000E3,9.100000000000001E-4,1.474070993279900E-7
7.100000000000000E-5,4.000000000000000E3,1.000000000000000E-5,1.466900379899571E-7
7.100000000000000E-5,4.000000000000000E3,1.100000000000000E-4,1.466900379764928E-7
7.100000000000000E-5,4.000000000000000E3,2.100000000000000E-4,1.466900379630283E-7
7.100000000000000E-5,4.000000000000000E3,3.100000000000001E-4,1.466900379495649E-7
7.100000000000000E-5,4.000000000000000E3,4.100000000000001E-4,1.466900379360999E-7
7.100000000000000E-5,4.000000000000000E3,5.100000000000000E-4,1.466900379226360E-7
7.100000000000000E-5,4.000000000000000E3,6.100000000000001E-4,1.466900379091722E-7
7.100000000000000E-5,4.000000000000000E3,7.100000000000000E-4,1.466900378957079E-7
7.100000000000000E-5,4.000000000000000E3,8.100000000000001E-4,1.466900378822438E-7
7.100000000000000E-5,4.000000000000000E3,9.100000000000001E-4,1.466900378687794E-7
7.100000000000000E-5,5.000000000000000E3,1.000000000000000E-5,1.460115902138687E-7
7.100000000000000E-5,5.000000000000000E3,1.100000000000000E-4,1.460115901979196E-7
7.100000000000000E-5,5.000000000000000E3,2.100000000000000E-4,1.460115901819692E-7
7.100000000000000E-5,5.000000000000000E3,3.100000000000001E-4,1.460115901660200E-7
